year,month,python_questions,javascript_questions,html_questions,css_questions,java_questions
"2018","1","16157","18785","8110","5446","12286"
"2018","2","16225","17126","7424","5014","11970"
"2018","3","17816","19018","8219","5271","13468"
"2018","4","16877","17864","7680","4948","13403"
"2018","5","17486","17944","7750","5029","13385"
"2018","6","16729","17111","7206","4815","11736"
"2018","7","17873","17746","7665","5016","11692"
"2018","8","17681","17789","7258","4883","11250"
"2018","9","15961","15954","6547","4477","10669"
"2018","10","18081","17330","7186","4672","12452"
"2018","11","17930","16106","6310","4086","11652"
"2018","12","15659","14205","5932","3759","10392"
"2019","1","16881","15964","6597","4457","10978"
"2019","2","17465","15621","6355","4294","10937"
"2019","3","19820","17262","7280","4762","11977"
"2019","4","19754","16099","6648","4272","11103"
"2019","5","18819","16075","6503","4243","11020"
"2019","6","17156","14740","5917","3753","9581"
"2019","7","19653","16057","6722","4295","10777"
"2019","8","17949","15142","5858","4078","9035"
"2019","9","16806","14800","5775","3861","9608"
"2019","10","20353","15906","6260","4142","11138"
"2019","11","20509","15658","6238","3923","10258"
"2019","12","18004","14219","5785","3643","8958"
"2020","1","19853","15927","6320","4087","9862"
"2020","2","19903","15653","6106","3933","9970"
"2020","3","22525","17452","6833","4468","11003"
"2020","4","27464","20759","7955","5198","12535"
"2020","5","29261","21354","8499","5589","11932"
"2020","6","26968","19681","7768","5164","10759"
"2020","7","26142","19776","7672","5048","10394"
"2020","8","22889","17922","6813","4726","9246"
"2020","9","21583","16680","6423","4353","8886"
"2020","10","22645","16318","6597","4423","8884"
"2020","11","21991","15413","5806","3915","8414"
"2020","12","22021","15910","6260","4173","7746"
"2021","1","22734","16757","6370","4378","7988"
"2021","2","21264","15162","5674","3996","7529"
"2021","3","23663","16645","6432","4455","8613"
"2021","4","22231","15752","6027","4118","7864"
"2021","5","22228","15694","6037","4003","7890"
"2021","6","20724","14878","5708","3905","7530"
"2021","7","20415","14643","5854","4135","6897"
"2021","8","19663","14489","5470","3927","6687"
"2021","9","18865","14311","5320","3694","6565"
"2021","10","19645","13707","5195","3713","6507"
"2021","11","19881","13329","5056","3441","6856"
"2021","12","18870","12965","4818","3458","6131"
"2022","1","19529","13834","5029","3572","6377"
"2022","2","19109","12694","4638","3301","5856"
"2022","3","20555","13456","5066","3629","6513"
"2022","4","19651","13331","4781","3478","6297"
"2022","5","19249","13186","4883","3430","6416"
"2022","6","18584","12483","4722","3347","5650"
"2022","7","18881","12619","4592","3232","5353"
"2022","8","18534","12963","4562","3412","5260"
"2022","9","16967","11792","4284","3151","5001"
"2022","10","18378","11517","4332","3275","5239"
"2022","11","18710","11620","4315","3135","5363"
"2022","12","15727","10156","3985","2966","4754"
"2023","1","14876","9936","3720","2862","4648"
"2023","2","12944","8413","3202","2562","4061"
"2023","3","12698","8387","3351","2536","4409"
"2023","4","9982","6491","2630","1991","3546"
"2023","5","9484","6070","2565","1992","3275"
"2023","6","9000","5828","2227","1776","3289"
"2023","7","8968","5872","2288","1920","3126"
"2023","8","8192","5191","2068","1752","3028"
"2023","9","6902","4449","1760","1403","2656"
"2023","10","7030","4108","1786","1444","2626"
"2023","11","6663","3954","1519","1220","2547"
"2023","12","5538","3648","1499","1175","2005"
"2024","1","6146","3970","1584","1270","2227"
"2024","2","6115","3593","1489","1185","2183"
"2024","3","5841","3643","1447","1161","2235"
"2024","4","5734","3199","1349","1093","2023"
"2024","5","5417","3065","1220","960","1777"
"2024","6","4165","2240","1012","848","1391"
"2024","7","4083","2165","919","766","1232"
"2024","8","3609","1941","858","714","1001"
"2024","9","2939","1681","701","580","1055"
"2024","10","2723","1460","621","581","1229"
"2024","11","2501","1287","538","469","1002"
"2024","12","2165","1122","474","404","940"
"2025","1","2170","1145","492","443","927"
"2025","2","1808","911","438","386","759"
"2025","3","1852","890","397","389","722"
"2025","4","1474","629","296","268","647"
"2025","5","1326","573","299","311","570"
"2025","6","1015","452","241","209","410"
"2025","7","937","424","219","215","378"
"2025","8","707","284","152","145","274"
"2025","9","672","283","131","153","294"
"2025","10","632","259","125","107","259"
"2025","11","519","213","113","108","241"
"2025","12","406","150","89","73","187"
"2026","1","348","163","77","70","156"
"2026","2","262","84","56","64","114"
"2026","3","224","93","47","51","91"
"2026","4","185","98","55","42","80"
"2026","5","70","42","24","21","29"
