year,month,questions,unanswered_questions,accepted_answer_questions,avg_answers,avg_comments,avg_score
"2018","1","160494","25913","76187","1.3187035029346892","2.3988560320011962","1.506741685047416"
"2018","2","153102","24701","72805","1.310910373476506","2.362483834306541","1.4345534349649254"
"2018","3","172950","28787","80992","1.3042035270309338","2.3420873084706564","1.4391037872217405"
"2018","4","162437","27501","75299","1.2993221987601347","2.377303200625473","1.4498359363938018"
"2018","5","167488","28892","77180","1.296331677493313","2.333743312953764","1.5027166125334352"
"2018","6","154580","26581","70945","1.2907232500970371","2.2704942424634496","1.489047742269375"
"2018","7","160034","27607","73469","1.2948623417523777","2.3144331829486235","1.4203794193733832"
"2018","8","158448","26612","73825","1.3112882459860649","2.3160910835100474","1.4179162879935374"
"2018","9","144517","23994","67362","1.3158521142841326","2.3068220347779156","1.4399344021810583"
"2018","10","160437","26421","74738","1.301744610033845","2.275516246252423","1.316709985851144"
"2018","11","149756","25462","69597","1.2719356820427896","2.257064825449398","1.33244077031972"
"2018","12","132211","22164","61623","1.2927819924212054","2.258359743137863","1.354108205822511"
"2019","1","149572","24643","70111","1.2974019201454818","2.257347631909716","1.3083264247319017"
"2019","2","146362","24050","68473","1.3017791503259042","2.2318907913256174","1.261201678031183"
"2019","3","161089","27309","74513","1.2821297543593915","2.2247949891054013","1.2432320021851275"
"2019","4","153508","26661","69773","1.2650480756703233","2.178928785470464","1.2078263022122626"
"2019","5","151325","26603","68895","1.2471171320006609","2.199015364282174","1.1485147860565008"
"2019","6","135887","23765","62142","1.2643961526856873","2.1862871356347555","1.3040393856660313"
"2019","7","151006","26350","68696","1.2561156510337337","2.191979126657219","1.1830457067931075"
"2019","8","137124","22988","63745","1.2681806248359149","2.151446865610688","1.222783757766693"
"2019","9","136894","23192","61894","1.2718672841760779","2.1708694318231623","1.2332680760296288"
"2019","10","152640","26218","69113","1.2584119496855346","2.1523584905660376","1.138875786163522"
"2019","11","148269","25064","66826","1.2567563010474205","2.156930983550169","1.0740141229791798"
"2019","12","132534","22502","60407","1.2596314907872697","2.1961081684699777","1.1355953943893642"
"2020","1","146647","25557","66937","1.2502608304295348","2.2129330978472113","1.128805908064945"
"2020","2","145074","25593","65586","1.236996291547762","2.170671519362532","1.0536278037415387"
"2020","3","155951","28673","70017","1.18895678770896","2.0830645523273335","0.9754025302819476"
"2020","4","182897","32931","83541","1.1829499663745169","1.992542250556324","0.9368989103156421"
"2020","5","186462","33246","85436","1.1907520030891012","1.981138248007637","0.9368611298816917"
"2020","6","171900","31087","77394","1.1991448516579406","2.006154741128563","0.9748109365910413"
"2020","7","166039","29368","75642","1.2036569721571437","2.0290052337101523","0.9559440854257132"
"2020","8","148313","25771","67892","1.2048640375422248","2.04617262141552","0.9184292678322197"
"2020","9","141776","25258","64303","1.1910196366098635","2.0401055185644963","0.9247122220968288"
"2020","10","141808","24854","65299","1.1866185264583098","1.9650583888074016","0.9274018391063974"
"2020","11","134947","24224","62032","1.176558204332071","1.9735377592684535","0.9402580272255033"
"2020","12","133907","24090","60588","1.179587325531899","2.024643969321992","0.9047174531577886"
"2021","1","139876","25144","63291","1.177242700677743","2.0233063570591097","0.8575524035574366"
"2021","2","131684","24180","59327","1.1519167096989764","1.9878193250508793","0.8499589927401963"
"2021","3","148766","28456","65764","1.1347485312504202","2.0209120363523922","0.8356613742387373"
"2021","4","135886","26094","59515","1.1339946720044742","2.035044081067954","0.8044022195075283"
"2021","5","133817","25292","58538","1.146072621565272","2.0415791715551834","0.7935314646121195"
"2021","6","129009","24697","55725","1.142734227844569","2.017409638087265","0.7938438403522234"
"2021","7","123997","24131","53794","1.1379226916780245","2.0496705565457227","0.7856883634281474"
"2021","8","122100","23128","53127","1.1545700245700246","2.0698525798525798","0.8035954135954136"
"2021","9","119792","23147","51269","1.1542507012154402","2.0728512755442767","0.8179761586750367"
"2021","10","118867","22670","51225","1.1423439642625792","2.056912347413496","0.7729226782874978"
"2021","11","119112","24050","50441","1.11884612801397","2.098344415340184","0.8081973268856203"
"2021","12","112145","22423","46978","1.136519684337242","2.0817334700610814","0.8720406616434081"
"2022","1","119299","23687","50554","1.1335216556718832","2.067066781783586","0.8455309767894115"
"2022","2","113884","22968","46885","1.1223350075515437","1.9702240876681536","0.80123634575533"
