year,month,questions
"2018","1","160494"
"2018","2","153102"
"2018","3","172950"
"2018","4","162437"
"2018","5","167488"
"2018","6","154580"
"2018","7","160034"
"2018","8","158448"
"2018","9","144517"
"2018","10","160437"
"2018","11","149756"
"2018","12","132211"
"2019","1","149572"
"2019","2","146362"
"2019","3","161089"
"2019","4","153508"
"2019","5","151325"
"2019","6","135887"
"2019","7","151006"
"2019","8","137124"
"2019","9","136894"
"2019","10","152640"
"2019","11","148269"
"2019","12","132534"
"2020","1","146647"
"2020","2","145074"
"2020","3","155951"
"2020","4","182897"
"2020","5","186462"
"2020","6","171900"
"2020","7","166039"
"2020","8","148313"
"2020","9","141776"
"2020","10","141808"
"2020","11","134947"
"2020","12","133907"
"2021","1","139876"
"2021","2","131684"
"2021","3","148766"
"2021","4","135886"
"2021","5","133817"
"2021","6","129009"
"2021","7","123997"
"2021","8","122100"
"2021","9","119792"
"2021","10","118867"
"2021","11","119112"
"2021","12","112145"
"2022","1","119299"
"2022","2","113884"
"2022","3","123407"
"2022","4","114155"
"2022","5","116212"
"2022","6","111417"
"2022","7","110877"
"2022","8","112934"
"2022","9","103836"
"2022","10","106197"
"2022","11","109566"
"2022","12","96527"
"2023","1","97013"
"2023","2","85855"
"2023","3","87352"
"2023","4","68615"
"2023","5","66605"
"2023","6","63718"
"2023","7","62843"
"2023","8","60177"
"2023","9","52822"
"2023","10","52419"
"2023","11","50356"
"2023","12","42409"
"2024","1","47696"
"2024","2","46044"
"2024","3","44791"
"2024","4","42466"
"2024","5","40146"
"2024","6","32004"
"2024","7","31491"
"2024","8","27859"
"2024","9","24788"
"2024","10","23210"
"2024","11","20838"
"2024","12","17962"
"2025","1","18229"
"2025","2","15559"
"2025","3","15125"
"2025","4","11448"
"2025","5","11061"
"2025","6","9186"
"2025","7","7744"
"2025","8","5832"
"2025","9","6054"
"2025","10","5314"
"2025","11","4266"
"2025","12","3334"
"2026","1","2958"
"2026","2","2308"
"2026","3","1935"
"2026","4","1701"
"2026","5","613"
